Año,Mes,Asset Code,N° Noches,N° Pasajeros,Mascota,Canal de Venta,Precio x Noche,Precio [$CLP] IVA Inc,Tax Booking,Clean Up,IVA 19%,Precio [$CLP] Neto,Medio de Pago,Boleta/Factura,Pago en USD
2023,Septiembre,C2,1,4,0,Booking,111383.99999999999,111383.99999999999,15561.000000000002,0,17783.999999999996,93599.99999999999,Transbank,BOL,1
2023,Septiembre,C1,1,3,0,Airbnb,100000.0,100000.0,3569.9999999999995,0,15966.38655462185,84033.61344537816,Transbank,BOL,0
2023,Septiembre,C1,1,4,0,Venta Directa,100000.0,100000.0,0.0,0,15966.38655462185,84033.61344537816,Transbank,BOL,0
2023,Septiembre,C1,5,6,0,Booking,214200.0,1071000.0,149625.00000000003,0,171000.0,900000.0,Transbank,BOL,1
2023,Septiembre,C2,6,8,0,Venta Directa,200000.0,1200000.0,0.0,0,191596.6386554622,1008403.3613445378,Transbank,BOL,0
2023,Septiembre,C2,4,4,1,Venta Directa,72500.0,290000.0,0.0,0,46302.52100840336,243697.47899159664,Transbank,BOL,0
2023,Septiembre,C1,2,3,0,Booking,180880.0,361760.0,50540.0,0,57760.0,304000.0,Transbank,BOL,1
2023,Septiembre,C1,1,2,0,Venta Directa,70000.0,70000.0,0.0,0,11176.470588235294,58823.529411764706,Transbank,BOL,0
2023,Septiembre,C1,2,2,0,Booking,154224.0,308448.0,43092.00000000001,0,49248.0,259200.0,Transbank,BOL,1
2023,Septiembre,C2,2,2,0,Venta Directa,50000.0,100000.0,0.0,0,15966.38655462185,84033.61344537816,TEF,BOL,0
2023,Septiembre,C1,1,4,0,Booking,77112.0,77112.0,10773.000000000002,0,12312.0,64800.0,Transbank,BOL,1
2023,Septiembre,C1,1,4,0,Venta Directa,87000.0,87000.0,0.0,0,13890.756302521007,73109.24369747899,Transbank,BOL,0
